market for steel, low-alloyed, hot rolled;GLO;kilogram;steel, low-alloyed, hot rolled
Cadmium;('air', 'non-urban air or from high stacks');kilogram
Chromium, ion;('water', 'surface water');kilogram
Heptane;('air', 'non-urban air or from high stacks');kilogram
Occupation, construction site;('natural resource', 'land');square meter-year
diesel, burned in building machine;GLO;megajoule;diesel, burned in building machine
market group for heat, district or industrial, natural gas;GLO;megajoule;heat, district or industrial, natural gas
operation, computer, desktop, with liquid crystal display, active mode;CH;hour;operation, computer, desktop, with liquid crystal display, active mode
Hydrogen, gaseous, 25 bar, from heatpipe reformer gasification of woody biomass with CCS, at gasification plant;RER;kilogram;Hydrogen, gaseous, 25 bar
Transformation, from forest, extensive;('natural resource', 'land');square meter
market for ammonia, anhydrous, liquid;RER;kilogram;ammonia, anhydrous, liquid
market for printed wiring board, surface mounted, unspecified, Pb free;GLO;kilogram;printed wiring board, surface mounted, unspecified, Pb free
Copper;('air', 'low population density, long-term');kilogram
Electrolyte, LFP;JP;kilogram;Electrolyte, LFP
market for thermoforming, with calendering;GLO;kilogram;thermoforming, with calendering
Fluoride;('water', 'surface water');kilogram
market for lime;RoW;kilogram;lime
Heat, waste;('air', 'urban air close to ground');megajoule
Fiber drying 2;RER;kilogram;Dried fiber 2
market group for electricity, low voltage;GLO;kilowatt hour;electricity, low voltage
market for electricity, low voltage, renewable energy products;CH;kilowatt hour;electricity, low voltage, renewable energy products
Hydrogen, gaseous, 700 bar, from heatpipe reformer gasification of woody biomass, at fuelling station;RER;kilogram;Hydrogen, gaseous, 700 bar
market for residue from shredder fraction from manual dismantling;RoW;kilogram;residue from shredder fraction from manual dismantling
Sodium, ion;('water', 'ground-, long-term');kilogram
high pressure hydrogen storage tank;GLO;kilogram;high pressure hydrogen storage tank
Water, well, in ground;('natural resource', 'in water');cubic meter
treatment of waste reinforced concrete, collection for final disposal;Europe without Switzerland;kilogram;waste reinforced concrete
market for ammonia, anhydrous, liquid;CN;kilogram;ammonia, anhydrous, liquid
Formaldehyde;('air', 'low population density, long-term');kilogram
Arsenic;('air', 'urban air close to ground');kilogram
market for extrusion, plastic film;GLO;kilogram;extrusion, plastic film
market for sulfuric acid;RoW;kilogram;sulfuric acid
air separation, cryogenic;RoW;kilogram;oxygen, liquid
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;DE;kilowatt hour;electricity, high voltage
market for polycarbonate;GLO;kilogram;polycarbonate
Argon-40;('air',);kilogram
transmission, for lorry;RER;kilogram;transmission, for lorry
low voltage system, for Li-ion battery;GLO;kilogram;low voltage system, for Li-ion battery
market for heat, central or small-scale, biomethane;Europe without Switzerland;megajoule;heat, central or small-scale, biomethane
market for transport, freight, inland waterways, barge;RoW;ton kilometer;transport, freight, inland waterways, barge
market for metal working, average for steel product manufacturing;GLO;kilogram;metal working, average for steel product manufacturing
Fiber sizing;RER;kilogram;Sized fiber
hydrogen production, gaseous, 25 bar, from electrolysis;RER;kilogram;Hydrogen, gaseous, 25 bar
treatment of waste bulk iron, excluding reinforcement, sorting plant;Europe without Switzerland;kilogram;waste bulk iron, excluding reinforcement
Biodiesel, from palm oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
Fixed bed reactor for RWGS;RER;unit;Fixed bed reactor
market for pitch;Europe without Switzerland;kilogram;pitch
market for chlorine, liquid;RER;kilogram;chlorine, liquid
Transformation, from grassland, natural (non-use);('natural resource', 'land');square meter
Nitrogen oxides;('air', 'urban air close to ground');kilogram
PAH, polycyclic aromatic hydrocarbons;('air', 'low population density, long-term');kilogram
market for glass fibre reinforced plastic, polyamide, injection moulded;GLO;kilogram;glass fibre reinforced plastic, polyamide, injection moulded
market for water, deionised;CH;kilogram;water, deionised
aluminium production, primary, ingot;IAI Area, Asia, without China and GCC;kilogram;aluminium, primary, ingot
magnesium production, electrolysis;RoW;kilogram;magnesium
market for electricity, low voltage;CH;kilowatt hour;electricity, low voltage
Hydrogen, gaseous, 700 bar, from heatpipe reformer gasification of woody biomass, at fuelling station;CH;kilogram;Hydrogen, gaseous, 700 bar
o-Xylene;('air', 'non-urban air or from high stacks');kilogram
Particulates, < 2.5 um;('air', 'low population density, long-term');kilogram
Carbon dioxide, non-fossil;('air', 'non-urban air or from high stacks');kilogram
electricity production, lignite;DE;kilowatt hour;electricity, high voltage
SMR NG + CCS (MDEA), 98 (average), 25 bar;CH;megajoule;Hydrogen, gaseous, 25 bar
MEA hot pressing;GLO;kilogram;MEA hot pressing
market for polyethylene terephthalate, granulate, amorphous;GLO;kilogram;polyethylene terephthalate, granulate, amorphous
market for tap water;CH;kilogram;tap water
production of 2 wt-% potassium iodide solution;RER;kilogram;production of 2 wt-% potassium iodide solution
Ethanol from sugarbeet;RER;kilogram;Ethanol from sugarbeet
drawing of pipe, steel;RER;kilogram;drawing of pipe, steel
Sabatier reaction methanation unit;RER;unit;Sabatier reaction methanation unit
market for copper, anode;GLO;kilogram;copper, anode
pump production, 40W;CH;unit;pump, 40W
